individual,raw_reads,alignments,properly_paired,rmdup
concat_AM14-O,7405224,2945221,2877966,314352
concat_AM14-P,8932000,3227411,3150210,360584
concat_AM6-O,2482084,507418,492694,86415
concat_AM6-P,2593822,695055,673162,111011
concat_GV5-O,7512068,1912715,1872762,226806
concat_GV5-P,3081840,685828,665399,102738
concat_Lion12-P,7270336,1704253,1661746,206639
concat_Lion7-O,3279296,707997,685198,105100
concat_LM1-10-O,5100494,1499005,1459422,209226
concat_LM1-10-P,2831888,780577,757463,117878
concat_LM1-22-O,3698634,1310310,1274154,183743
concat_LM1-22-P,2989340,943709,915582,138071
concat_LM2-8-O,8233920,2233329,2170298,293500
concat_LM2-8-P,2555388,203040,194838,34618
concat_LM3-12-O,2139010,133744,123507,24815
concat_LM3-12-P,2377642,488659,471429,77308
concat_LM3-16-O,10001462,2701920,2643499,311369
concat_LM3-16-P,817234,192528,189609,7148
concat_LM4-14-O,17465512,4535551,4457714,395329
concat_LM4-14-P,485282,34063,31876,6397
concat_LM4-16-O,4430362,1242674,1204483,180763
concat_LM4-16-P,766262,50735,46869,10279
concat_LM5-13-O,6348894,1978018,1925592,255159
concat_LM5-13-P,2523432,502338,484956,80342
concat_LM5-4-O,11490086,3029726,2980333,289256
concat_LM5-4-P,1528024,112282,105091,20244
concat_LM6-9-O,10982332,2852290,2789985,329626
concat_LM6-9-P,4180950,1213654,1184122,171839
concat_Long3-O,102346,7727,7209,1538
concat_Long3-P,1179046,85364,79775,15394
concat_POT1-O,4653684,2124553,2082935,264301
concat_POT1-P,2985270,1005377,979002,144512
concat_SMG2-O,3028586,1172401,1141949,167065
concat_SMG2-P,5727210,1923880,1875254,238108
concat_VCC2-O,2033878,215764,206433,37396
