NFGEL#,SampleID,Location,DateCollected,DateReceived,Latitude,Longitude,TissueType,Comments,SpeciesID,CommonName,Lyoph?,Original DNA Plate,Original Plate Well,[Mini] ng/ul,DNA PLATE,DNA PLATE POSITION,[DNA] ng/ul,DNA Yield (ug) (100ul vol)
LF08,Pilot4-1,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF09,Pilot4-2,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,11.3,,,,
LF10,Pilot4-3,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,13.7,,,,
LF11,Pilot4-4,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF12,Pilot4-5,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,12.0,,,,
LF13,Pilot4-6,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF14,Pilot4-7,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF15,Pilot4-8,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF16,Pilot4-9,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,11.2,,,,
LF17,Pilot5-1,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF18,Pilot5-2,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF19,Pilot5-3,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF20,Pilot5-4,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,19.2,,,,
LF21,Pilot5-5,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF22,Pilot5-6,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF23,Pilot5-7,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF24,Pilot6-1,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,30.5,,,,
LF25,Pilot6-2,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
